全局序号,分类,分类内序号,等级,POI_ID,名称,子类,地址,经度,纬度,评分,价格/费用/余量,开放/服务时间,建议游览分钟,电话,标签,简介/用途,图片URL,动态字段,数据用途,选择分,备注
1,景点,1,L4,135,尚湖风景区,5A,虞山街道,120.688717,31.644384,4.7,70元起，淡旺季和联票以景区公告为准,7:30-17:00，冬季约8:10-16:10，以景区公告为准,180,0512-52308899,湖泊、湿地、牡丹、国家5A、亲子、水上森林,尚湖风景区以湖荡湿地、牡丹花会、水上森林和山水文化景观为核心，适合半日游、亲子游和休闲观景。,http://store.is.autonavi.com/showpic/c7f5b656e205f1b5b2a7b9a5cf043e29,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
2,景点,2,L4,136,沙家浜风景区,5A,沙家浜镇芦苇荡路188号,120.803913,31.554585,4.6,80-100元，船票/竹筏等二次消费以景区公告为准,8:00-17:00，淡季约8:30-16:30，以景区公告为准,300,0512-52500000,红色旅游、湿地、国家5A、亲子、京剧,沙家浜风景区融合红色文化、芦苇湿地、影视体验和水上游览，是常熟南部最具代表性的综合型景区。,http://store.is.autonavi.com/showpic/581e1085eeb6267ab5e746d5662483b6,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
3,景点,3,L4,137,方塔园,4A,环城东路28号,120.748819,31.64546,4.7,免费，特殊展陈以现场公告为准,8:00-16:30，以园区公告为准,90,0512-52700212,古塔、园林、银杏、国家4A、免费,方塔园以宋代方塔、古井、碑刻和江南园林空间为特色，是常熟古城文化地标之一。,http://store.is.autonavi.com/showpic/22dcba66099753b8327c2964d996d20e,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
4,景点,4,L4,140,燕园,国保,虞山镇虞山锦江饭店旁,120.743128,31.648659,4.6,约10元，以景区公告为准,8:00-16:30，以景区公告为准,45,0512-52796229;0512-52796987,古典园林、假山、国保、小众、摄影,燕园以黄石假山和清代私家园林格局见长，空间精巧，适合古典园林观赏和安静游览。,https://store.is.autonavi.com/showpic/49d9a2a9008fc3970000002427582367?type=pic,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
5,景点,5,L4,198,虞山国家森林公园,国家级景点,虞山镇北门大街21号,120.709847,31.665592,4.7,部分山林区域免费，剑门/城墙等联票以景区公告为准,8:00-16:00，开放范围以景区公告为准,180,0512-52225000,登山、森林、国家森林公园、虞山、城市山林,虞山国家森林公园以山林、古迹、登高视野和城市山水格局为核心，是常熟山水游线的主轴。,https://aos-comment.amap.com/B020007AKP/comment/9f76ae662210ce3330affe590ab2fbed_2048_2048_80.jpg,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
6,景点,6,L4,204,言子墓,风景名胜,虞山镇北门大街21号虞山国家森林公园,120.740439,31.647672,4.3,免费或含在虞山景区游线中，以现场公告为准,全天开放区域为主，具体以现场公告为准,35,0512-52225000,文物古迹、先贤文化、虞山、历史、短停留,言子墓纪念常熟先贤言偃，适合作为虞山文化线中的历史节点，与城墙、兴福寺等点位组合游览。,https://aos-comment.amap.com/B020007LFJ/comment/AD3EEE8D_D235_40BD_8DA9_AA04E989EA01_L0_001_2016_1512_1727152167771_95425789.jpg,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
7,景点,7,L4,201,聚沙园,公园,梅李镇梅东路1号,120.877969,31.705597,4.6,免费或低价票制，以园区公告为准,8:00-16:00，以园区公告为准,90,,公园、历史文化、休闲、古迹、亲子,聚沙园兼具园林游憩和历史文化展示，适合家庭散步、短途休闲和文化路线补充。,http://store.is.autonavi.com/showpic/dc55cf5e2f69b8670240c2f27ab7d36c,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
8,景点,8,L4,194,昆承湖景区,风景名胜,锡太路昆承湖附近,120.764229,31.592158,4.6,开放式湖区为主，部分项目以现场公告为准,8:30-16:30，开放区域以现场公告为准,120,,湖泊、城市休闲、骑行、亲水、夜景,昆承湖景区以湖滨开放空间、慢行休闲和城市水岸景观为主，适合骑行、散步和轻度游览。,http://store.is.autonavi.com/showpic/df4a84eda2b7b5f47bc525c5c34f907f,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
9,景点,9,L4,266,南湖湿地公园,风景名胜,尚湖镇苏虞张公路,120.635782,31.592883,4.5,免费或低价票制，以现场公告为准,6:00-21:00，以园区公告为准,90,,湿地公园、生态、观鸟、亲子、慢行,南湖湿地公园以生态湿地、亲水步道和自然观赏为特色，适合轻松游览和亲子自然教育。,http://aos-cdn-image.amap.com/sns/ugccomment/39cae331-914d-42aa-be90-19098bd2c38b.jpg,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
10,景点,10,L4,195,蒋巷生态园,旅游景点,任阳镇蒋巷,120.974295,31.504402,4.4,门票及体验项目以景区公告为准,9:00-17:00，以景区公告为准,120,18915584705,乡村旅游、生态园、亲子、农旅、研学,蒋巷生态园以乡村生态、农旅体验和团队研学为主要特色，适合家庭和团队半日游。,https://aos-comment.amap.com/B020016EQG/comment/content_media_external_file_100003721_1767174631022_52020496.jpg,,重点样板卡片/封面图/路线规划,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。
11,景点,11,L3,131,虞山剑门景区,5A,常熟市虞山镇虞山北路,120.71,31.672,4.5,约30元，联票政策以景区公告为准,8:00-16:00，以景区公告为准,120,0512-52779320,登山、观景、虞山、国家5A、文化,虞山剑门景区位于虞山山脊线，适合登山观景，可与城墙、宝岩等点位组成虞山半日游。,http://store.is.autonavi.com/showpic/b678205a8aa1cf8152811c9dc1f7b793,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：近似同名高德POI图片：虞山风景区
12,景点,12,L3,132,虞山宝岩生态观光园,5A,常熟市宝岩生态观光园,120.6968,31.6431,4.4,约30元，联票政策以景区公告为准,8:00-16:00，以景区公告为准,90,0512-52783289,生态、杨梅、银杏、国家5A、虞山,虞山宝岩生态观光园位于虞山南麓，以林果、生态步道和季节性景观为特色。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
13,景点,13,L3,133,虞山城墙,5A,常熟市虞山中路,120.7185,31.6716,4.3,约30元，联票政策以景区公告为准,8:00-16:00，以景区公告为准,60,0512-52785930,古城墙、夜游、历史、国家5A、古城,虞山城墙保留常熟古城山城关系，是登高看城、体验古城历史和夜游动线的重要节点。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
14,景点,14,L3,134,兴福寺,寺庙,常熟市虞山北路兴福寺,120.7147,31.6817,4.6,免费，寺内项目以现场公告为准,全天开放区域为主，以寺院公告为准,60,0512-52290183,寺庙、早茶、蕈油面、文化、禅意,兴福寺位于虞山北麓，以古寺、山林和常熟本地早茶体验闻名，适合与虞山游线组合。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
15,景点,15,L3,138,翁同龢纪念馆,国保,书院街翁家巷门2号,120.741518,31.640971,4.3,免费或预约制，以场馆公告为准,8:00-16:30，周一闭馆，以场馆公告为准,60,0512-52786639,名人故居、纪念馆、国保、文化、古城,翁同龢纪念馆展示翁氏家族和近代文化史内容，是常熟古城文化游的重要室内点。,https://aos-comment.amap.com/B02000IZCC/comment/file_media_Photo_10057_IMG_1762396885_9880_IMG_20251106_103945_jpg_ss__1762820373022_82634286.jpg,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：翁同龢纪念馆
16,景点,16,L3,139,曾赵园,省保,常熟市翁府前,120.7532,31.6485,4.3,约30元，以景区公告为准,8:00-16:30，以景区公告为准,60,0512-52781288,古典园林、苏式园林、省保、文化、古城,曾赵园由曾园、赵园相邻组成，体现江南私家园林格局，适合古城慢游和园林主题路线。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
17,景点,17,L3,141,常熟博物馆,博物馆,常熟市北门大街1号,120.7548,31.6489,4.4,免费，通常需预约，以场馆公告为准,9:00-16:30，周一闭馆，以场馆公告为准,90,0512-52713164,博物馆、文物、城市历史、室内、亲子,常熟博物馆集中展示地方历史、文物和城市文化，是雨天、亲子和文化路线的稳定节点。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
18,景点,18,L3,142,南门坛上老街,街区,常熟市南门,120.75,31.642,4.3,免费,全天开放，餐饮商铺以各店营业时间为准,90,,老街、烟火气、小吃、免费、本地生活,南门坛上老街保留常熟老城街巷和市井生活气息，适合小吃、散步和夜间轻游。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
19,景点,19,L3,378,古里红豆山庄,旅游景点,古里镇红豆山庄1号,120.882415,31.606728,4.6,以景区公告为准,8:30-17:00，以景区公告为准,120,0512-52568888,红豆文化、乡村旅游、亲子、摄影、休闲,古里红豆山庄以红豆文化、乡村休闲和季节性花木景观为特色，是东部片区代表性休闲景点。,http://store.is.autonavi.com/showpic/40ac5fe7e149617e28401d2a00ee3d4b,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：古里红豆山庄
20,景点,20,L3,209,三峰清凉禅寺,寺庙道观,虞山镇三峰街38号,120.707406,31.676417,4.4,免费或香花券以寺院公告为准,8:30-16:30，以寺院公告为准,60,18962254889,寺庙、禅意、虞山、清静、文化,三峰清凉禅寺位于虞山片区，适合宗教文化、清静游览和虞山慢行线路补充。,http://store.is.autonavi.com/showpic/1161ad2ab1d4b9ee3fcf1077470444c1,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：三峰清凉禅寺
21,景点,21,L3,340,中共常熟党史馆,风景名胜,辛峰巷与通江路交叉口西北20米,120.744013,31.648348,4.4,免费，参观预约以场馆公告为准,周二至周日8:00-16:30，节假日以公告为准,60,0512-52788363,党史教育、展馆、红色文化、室内、研学,中共常熟党史馆以地方党史和红色文化展示为主，适合研学、团队和室内文化路线。,https://aos-comment.amap.com/default_poi/comment/content_media_external_file_100002089_1749944225092_03603521.jpg,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：中共常熟党史馆
22,景点,22,L3,226,铁琴铜剑楼,纪念馆,铜剑北街,120.837811,31.630442,4.3,以场馆公告为准,8:00-16:00，以场馆公告为准,60,0512-52526332;0512-52936707,藏书楼、古籍、文化、纪念馆、古里,铁琴铜剑楼是常熟重要藏书文化遗存，适合与古里文化、书香主题路线组合。,http://aos-cdn-image.amap.com/sns/ugccomment/366df34a-96e5-4e48-acb0-7d09d375f388.JPG,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：铁琴铜剑楼
23,景点,23,L3,248,江南红豆园,其它农林牧渔基地,梅李镇圩港村福缘禅寺旁,120.831542,31.756791,4.2,以景区公告为准,7:30-16:30，以景区公告为准,90,0512-52380089;0512-52669878,红豆文化、园林、乡村休闲、亲子、摄影,江南红豆园以红豆树与乡村休闲景观为核心，适合轻度游览、摄影和亲子路线。,http://store.is.autonavi.com/showpic/1f7c24cc9674d0decf821cffae7de689,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：江南红豆园
24,景点,24,L3,240,罗墩良渚文化遗址,旅游景点,罗墩桥路与良渚路交叉口东北40米,120.649488,31.63315,4.0,免费或以现场公告为准,全天开放区域为主，以现场公告为准,45,,良渚文化、遗址、考古、历史、研学,罗墩良渚文化遗址体现常熟早期文明线索，适合历史文化和研学型路线。,http://store.is.autonavi.com/showpic/f60a1e1be85d17b7b5ba8d7dc208ec7d,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：罗墩良渚文化遗址
25,景点,25,L3,191,真武观,寺庙道观,隆力奇工业园,120.666001,31.50206,4.2,免费或以现场公告为准,7:30-16:30，以现场公告为准,45,,道观、古建、宗教文化、短停留、古城,真武观为常熟传统宗教文化点位，适合古城文化路线中的短停留。,http://store.is.autonavi.com/showpic/df7b28044161ef1aad2683a3939f2535,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：真武观
26,景点,26,L3,176,柳如是墓,旅游景点,"虞山锦峰拂水岩下花园浜,钱牧斋墓西边",120.699014,31.660447,4.0,免费或以现场公告为准,全天开放区域为主，以现场公告为准,35,,历史人物、墓园、文化、短停留、明清,柳如是墓关联明清文化人物柳如是，适合作为常熟历史人物主题路线的补充点。,https://aos-comment.amap.com/B02000K00U/comment/39ec2300ec9036682790a3224c24d144_2048_2048_80.jpg,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：柳如是墓
27,景点,27,L3,306,言子旧宅,纪念馆,东言子巷17号,120.744631,31.645197,4.0,免费或以现场公告为准,以现场公告为准,45,,名人故居、言子文化、古城、历史、短停留,言子旧宅以言子文化和常熟先贤记忆为主题，适合古城文化线和研学路线。,https://aos-comment.amap.com/B0FFI687WC/comment/177262053425_1772620537214_25068488.jpg,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：言子旧宅
28,景点,28,L3,264,王石谷纪念馆,纪念馆,虞山镇虞山中路虞山风景区南门,120.738642,31.648746,3.5,免费或以场馆公告为准,以场馆公告为准,45,,纪念馆、绘画、文化、室内、短停留,王石谷纪念馆展示常熟画派相关文化内容，适合作为艺术与古城文化游节点。,https://store.is.autonavi.com/showpic/ab7c2e56df2e2a050000000704598312,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：王石谷纪念馆
29,景点,29,L3,271,钱谦益墓,旅游景点,虞山南路,120.699602,31.660017,3.8,免费或以现场公告为准,全天开放区域为主，以现场公告为准,35,,历史人物、墓园、文化、短停留、明清,钱谦益墓关联明清文人钱谦益，可与柳如是墓等点位组成历史人物主题路线。,https://aos-comment.amap.com/B02000K0RL/comment/b8622dfeed4fff0f8a39d8675ec26229_2048_2048_80.jpg,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：同名高德POI图片：钱谦益墓
30,景点,30,L3,351,常熟府城隍庙,寺庙道观,小三台与西门大街交叉口东北140米,120.738684,31.645094,3.6,免费或以现场公告为准,以现场公告为准,45,,城隍庙、民俗、古建、古城、短停留,常熟府城隍庙体现地方民俗和古城信仰空间，适合古城步行路线补充。,/map-skins/guli-ancient-town.png,,路线规划主节点,,门票/开放时间等运营信息以景区当日公告为准，本字段用于路线规划和演示估算。；图片URL补充：未匹配到同名/近似同名POI图片，使用本地古风示意图。
31,景点,31,L2,175,增福禅寺,寺庙道观,古里镇红豆山庄1号古里红豆山庄(东南角),120.886863,31.604408,4.0,,,,0512-52568888,,可作为宗教文化和乡镇游线补充点。,,,搜索/候选展示/后续补全,,可作为宗教文化和乡镇游线补充点。
32,景点,32,L2,178,法灯禅寺,寺庙道观,支塘镇何北村盛家巷60号,121.010266,31.664746,4.0,,,,0512-52548806,,可作为宗教文化短停留点。,,,搜索/候选展示/后续补全,,可作为宗教文化短停留点。
33,景点,33,L2,186,接待禅寺,寺庙道观,江苏常熟服装城管理委员会商海路,120.750534,31.618516,3.9,,06:30-16:00,,,,有基础开放时间，适合乡镇文化补充。,,,搜索/候选展示/后续补全,,有基础开放时间，适合乡镇文化补充。
34,景点,34,L2,190,滨江公园,旅游景点,新溪路186-12正西方向120米,120.927,31.720008,3.9,,24小时营业,,,,适合滨江片区休闲和慢行。,,,搜索/候选展示/后续补全,,适合滨江片区休闲和慢行。
35,景点,35,L2,196,石梅广场,城市广场,苗弄10-2号,120.739694,31.644311,4.2,,24小时营业,,,,适合作为古城公共空间和集合点。,,,搜索/候选展示/后续补全,,适合作为古城公共空间和集合点。
36,景点,36,L2,199,北庄寺,生活服务场所,合泰村北庄路,120.716583,31.547034,4.1,,,,,,基础 POI，可用于搜索和附近推荐。,,,搜索/候选展示/后续补全,,基础 POI，可用于搜索和附近推荐。
37,景点,37,L2,205,法华禅寺,寺庙道观,草庵禅院,120.941399,31.726983,3.9,,,,0512-52692057,,宗教文化点，可作为候选补充。,,,搜索/候选展示/后续补全,,宗教文化点，可作为候选补充。
38,景点,38,L2,207,西城楼阁,风景名胜,西门大街阜成门旁,120.734464,31.645708,4.1,,12:00-17:00,,,,古城景观补充点。,,,搜索/候选展示/后续补全,,古城景观补充点。
39,景点,39,L2,208,海虞园,公园,青墩塘路8号,120.758577,31.650923,3.9,,24小时营业,,,,公共休闲空间，适合轻量展示。,,,搜索/候选展示/后续补全,,公共休闲空间，适合轻量展示。
40,景点,40,L2,214,望江禅寺,寺庙道观,浒浦街道寺后路,120.907807,31.747962,3.9,,,,,,乡镇宗教文化点。,,,搜索/候选展示/后续补全,,乡镇宗教文化点。
41,景点,41,L2,216,常熟法治雕塑公园,公园,海虞北路与昭文路交叉口东140米,120.757436,31.65309,3.9,,24小时营业,,,,主题公园，可用于附近休闲推荐。,,,搜索/候选展示/后续补全,,主题公园，可用于附近休闲推荐。
